vcaa_school,vcaa_locality,case_type,exact_acara_name,fuzzy_candidate,fuzzy_score,acara_school_name,need_locality
dimboola memorial sec college,dimboola,no_match,,Dimboola Memorial Secondary College,78.1,y
djerriwarrh community college,melton,no_match,,Murrayville Community College,65.5,Djerriwarrh Community & Education Services - Djerriwarrh Community College
east doncaster sec college,doncaster east,no_match,,East Doncaster Secondary College,75.9,y
f.c.j. college,benalla,no_match,,Mercy College,59.3,FCJ College
fintona girls school,balwyn,no_match,,Fintona Girls' School,82.9,y
flinders christian comm college,carrum downs,no_match,,Flinders Christian Community College,80.6,
flinders christian comm college,tyabb,no_match,,Flinders Christian Community College,80.6,y
foundation college,frankston,no_match,,Kurnai College,68.8,
foundation college,narre warren,no_match,,Kurnai College,68.8,Foundation Learning Centre
fountain gate sec college,fountain gate,no_match,,Fountain Gate Secondary College,75.0,y
galen college,wangaratta,no_match,,Sale College,80.0,Galen Catholic College
genazzano f.c.j. college,kew,no_match,,Genazzano FCJ College,71.1,y
gladstone park sec college,gladstone park,no_match,,Gladstone Park Secondary College,75.9,y
glen waverley sec college,glen waverley,no_match,,Glen Waverley Secondary College,75.0,y
glenroy secondary college,glenroy,no_match,,Edenbrook Secondary College,76.9,Glenroy College
good shepherd college,hamilton,no_match,,Good Shepherd College - Senior Campus,62.1,y
goulburn valley grammar schl,shepparton,no_match,,Goulburn Valley Grammar School,82.8,y
greater shepparton sec college,shepparton,no_match,,Greater Shepparton Secondary College,78.8,y
greensborough sec college,greensborough,no_match,,Greensborough Secondary College,78.6,y
haileybury - pangea campus,keysborough,no_match,,Sale Campus,48.6,
haileybury girls college,keysborough,no_match,,Haileybury College,76.2,
haileybury rendall school,berrimah,no_match,,Berendale School,63.4,
hallam senior sec college,hallam,no_match,,Hallam Secondary College,69.4,y
hampton park sec college,hampton park,no_match,,Hampton Park Secondary College,74.1,y
hawkesdale college,hawkesdale,no_match,,Hawkesdale P12 College,80.0,y
heatherton christian college,clarinda,no_match,,Shepparton Christian College,82.1,Christway College
heywood & district sec college,heywood,no_match,,Heywood District Secondary College,75.0,y
highview christian comm college,maryborough,no_match,,Olivet Christian College,69.1,Highview College
holmesglen institute,moorabbin,no_match,,Sunshine College,55.6,
homestead senior sec college,point cook,no_match,,Homestead Senior Secondary College,77.4,y
hoppers crossing sec college,hoppers crossing,no_match,,Hoppers Crossing Secondary College,77.4,y
hume central sec college,broadmeadows,no_match,,Hume Central Secondary College,74.1,y
ilim college kiewa campus,dallas,no_match,,Swan Hill College,57.1,
john fawkner college,fawkner,no_match,,Fawkner Secondary College,71.1,John Fawkner Secondary College
kaniva p-12 college,kaniva,no_match,,Kaniva College,72.7,y
