vcaa_school,vcaa_locality,acara_school_name,need_acara_suburb,exclude
melbourne rudolf steiner schl,warranwood,Melbourne Rudolf Steiner School,,
mentone girls' sec college,mentone,Mentone Girls Secondary College,,
methodist ladies college,kew,Methodist Ladies' College,,
mirboo north sec college,mirboo north,Mirboo North Secondary College,,
montmorency sec college,montmorency,Montmorency Secondary College,,
mortlake college,mortlake,Mortlake P-12 College,,
mount alexander 7-12 coll,flemington,Mount Alexander 7-12 College,,
mount beauty sec college,mount beauty,Mount Beauty Secondary College,,
mount eliza sec college,mount eliza,Mount Eliza Secondary College,,
mount erin college,frankston south,Mount Erin Secondary College,,
mount waverley sec college,mount waverley,Mount Waverley Secondary College,,
mullauna college,mitcham,Mullauna Secondary College,,
murtoa p-12 college,murtoa,Murtoa College,,
narre warren sth p-12 college,narre warren south,Narre Warren South P-12 College,,
neerim district sec college,neerim south,Neerim District Secondary College,,
north geelong sec college,geelong north,North Geelong Secondary College,,
north geelong sec college,north geelong,North Geelong Secondary College,,
northern college of arts & tech,preston east,Northern College of the Arts and Technology,,
nunawading christian college,nunawading,Nunawading Christian College - Secondary,,
orbost secondary college,orbost,Orbost Community College,,
our lady of sacred heart coll,bentleigh,Our Lady of the Sacred Heart College,,
overnewton anglican comm coll,keilor,Overnewton Anglican Community College,,
pascoe vale girls sec college,pascoe vale,Pascoe Vale Girls Secondary College,,
patterson river sec college,seaford,Patterson River Secondary College,,
penleigh & essendon grammar,keilor east,Penleigh & Essendon Grammar School,,
phoenix p-12 comm coll,sebastopol,Phoenix P-12 Community College,,
point cook senior sec college,point cook,Point Cook Senior Secondary College,,
prace college,reservoir,Preston Reservoir Adult Community Education - Prace College campus,,
preshil the margaret lyttle ms,kew,"Preshil, The Margaret Lyttle Memorial School",,
preston reservoir ace,reservoir,Preston Reservoir Adult Community Education - Prace College campus,,
princes hill sec college,princes hill,Princes Hill Secondary College,,
sacred heart college geelong,newtown,Sacred Heart College,y,
